regiao_saude_package,regiao_saude_sesrj_ascii,municipios_esperados,fonte,fonte_url
Baia da Ilha Grande,Baia da Ilha Grande,3,SES-RJ Assessoria de Regionalizacao,https://www.saude.rj.gov.br/assessoria-de-regionalizacao/sobre-a-regionalizacao/2017/04/regionalizacao
Baixada Litoranea,Baixada Litoranea,8,SES-RJ Assessoria de Regionalizacao,https://www.saude.rj.gov.br/assessoria-de-regionalizacao/sobre-a-regionalizacao/2017/04/regionalizacao
Centro-Sul,Centro Sul,10,SES-RJ Assessoria de Regionalizacao,https://www.saude.rj.gov.br/assessoria-de-regionalizacao/sobre-a-regionalizacao/2017/04/regionalizacao
Medio Paraiba,Medio Paraiba,12,SES-RJ Assessoria de Regionalizacao,https://www.saude.rj.gov.br/assessoria-de-regionalizacao/sobre-a-regionalizacao/2017/04/regionalizacao
Metropolitana I,Metropolitana I,13,SES-RJ Assessoria de Regionalizacao,https://www.saude.rj.gov.br/assessoria-de-regionalizacao/sobre-a-regionalizacao/2017/04/regionalizacao
Metropolitana II,Metropolitana II,9,SES-RJ Assessoria de Regionalizacao,https://www.saude.rj.gov.br/assessoria-de-regionalizacao/sobre-a-regionalizacao/2017/04/regionalizacao
Noroeste,Noroeste,13,SES-RJ Assessoria de Regionalizacao,https://www.saude.rj.gov.br/assessoria-de-regionalizacao/sobre-a-regionalizacao/2017/04/regionalizacao
Norte,Norte,10,SES-RJ Assessoria de Regionalizacao,https://www.saude.rj.gov.br/assessoria-de-regionalizacao/sobre-a-regionalizacao/2017/04/regionalizacao
Serrana,Serrana,14,SES-RJ Assessoria de Regionalizacao,https://www.saude.rj.gov.br/assessoria-de-regionalizacao/sobre-a-regionalizacao/2017/04/regionalizacao
